lon,lat,year,pubMedId
97.3916320801,25.3710308075,2013,25704894
98.1215677,16.0408229,2013,25704894
94.9238888889,24.8888888889,2013,25704894
98.711517334,16.2970600128,2013,25704894
106.90801239,11.7552776337,2011,25075834
98.5680007935,16.7148990631,2011,25075834
102.607780457,12.8581104279,2011,25075834
104.845462,14.00858,2011,25075834
103.918998718,12.5382995605,2011,25075834
96.5218200684,20.3301429749,2012,25075834
104.320770264,15.1148796082,2012,25075834
104.371002197,14.6302995682,2012,25075834
108.227607727,15.342417717,2013,25224002
106.96667,11.816667,2011,25180241
102.852996826,12.5972995758,2009,25180241
102.607780457,12.8581104279,2010,25180241
98.5503005981,9.98237991333,2011,25180241
102.607780457,12.8581104279,2002,24352242
103.202003479,13.1028003693,2002,24352242
103.918998718,12.5382995605,2010,24352242
104.081242,14.23508,2013,25877962
97.556448,24.75595,2008,25927592
98.6338424683,9.95201015472,2007,25836766
99.5301589966,14.0264596939,2007,25836766
98.3852996826,16.0049991608,2013,25537878
107.100997925,13.8577003479,2014,26695060
103.916999817,12.5333003998,2012,26774243
104.845001221,14.008600235,2012,26774243
107.100997925,13.8577003479,2012,26774243
104.75,11.57970047,2014,27332904
102.536003113,17.9605998993,2013,27332904
105.802001953,21.0228004456,2014,27332904
98.5568008423,16.7077007294,2010,27313266
98.6084976196,9.95287036896,2007,25836766
99.5327987671,14.0228004456,2007,25836766
105.411003113,14.7566995621,2014,26616851
106.722999573,11.75,2009,28137815
107.830001831,13.9622001648,2014,28137815
97.9058990479,26.9962997437,2012,28388902
94.3098983765,24.2191009521,2014,28388902
95.9757003784,22.888299942,2014,28388902
96.8806991577,17.9293003082,2015,28249583
